iter	Passed	Remaining
0	484	241627
1	730	181831
2	993	164578
3	1237	153443
4	1524	150888
5	1787	147187
6	2053	144649
7	2299	141449
8	2573	140410
9	2839	139129
10	3071	136552
11	3361	136685
12	3602	134968
13	3823	132722
14	4075	131777
15	4350	131614
16	4624	131402
17	4888	130891
18	5206	131795
19	5503	132089
20	5752	131207
21	6014	130668
22	6251	129648
23	6479	128512
24	6735	127972
25	7005	127720
26	7306	128007
27	7566	127549
28	7816	126944
29	8087	126700
30	8339	126167
31	8613	125974
32	8863	125432
33	9165	125616
34	9448	125530
35	9698	125007
36	9948	124495
37	10162	123554
38	10383	122733
39	10634	122300
40	10859	121574
41	11076	120782
42	11284	119926
43	11621	120444
44	12058	121927
45	12569	124059
46	12980	125107
47	13418	126357
48	13799	127013
49	14299	128691
50	14745	129815
51	14968	128958
52	15186	128085
53	15450	127609
54	15696	126997
55	15931	126317
56	16166	125646
57	16400	124986
58	16614	124182
59	16908	123994
60	17171	123581
61	17426	123108
62	17667	122550
63	17860	121676
64	18067	120912
65	18303	120358
66	18551	119893
67	18734	119021
68	18943	118328
69	19193	117900
70	19428	117389
71	19675	116961
72	19973	116831
73	20235	116488
74	20477	116040
75	20744	115730
76	20967	115184
77	21217	114791
78	21465	114390
79	21664	113740
80	21925	113417
81	22143	112878
82	22366	112371
83	22585	111849
84	22864	111634
85	23150	111446
86	23384	111010
87	23603	110508
88	23851	110145
89	24133	109940
90	24359	109481
91	24642	109283
92	24904	108992
93	25136	108569
94	25359	108111
95	25583	107663
96	25790	107150
97	26030	106778
98	26257	106356
99	26490	105960
100	26734	105613
101	27028	105464
102	27257	105059
103	27478	104630
104	27703	104217
105	27981	104007
106	28253	103772
107	28463	103312
108	28705	102972
109	28944	102619
110	29191	102302
111	29433	101966
112	29663	101591
113	29894	101222
114	30134	100885
115	30385	100587
116	30620	100235
117	30857	99894
118	31168	99790
119	31460	99626
120	31717	99347
121	31965	99040
122	32195	98679
123	32484	98502
124	32751	98255
125	33022	98018
126	33246	97645
127	33480	97301
128	33733	97015
129	33962	96662
130	34232	96426
131	34479	96124
132	34767	95937
133	35029	95677
134	35228	95247
135	35457	94900
136	35707	94610
137	35974	94367
138	36191	93994
139	36446	93718
140	36698	93438
141	36916	93070
142	37112	92650
143	37391	92439
144	37743	92406
145	38015	92175
146	38240	91830
147	38489	91542
148	38965	91792
149	39379	91884
150	39876	92164
151	40254	92160
152	40846	92639
153	41305	92802
154	41895	93251
155	42606	93951
156	43398	94812
157	44121	95503
158	44658	95778
159	45390	96455
160	46213	97307
161	47120	98313
162	49446	102230
163	50116	102676
164	51645	104855
165	54381	109417
166	56553	112767
167	58026	114671
168	58641	114853
169	61473	119330
170	70018	134714
171	76268	145442
172	80685	152509
173	82482	154537
174	82965	154079
175	83175	153118
176	83390	152176
177	83579	151193
178	83807	150291
179	84012	149355
180	84218	148429
181	84424	147510
182	84630	146599
183	84830	145686
184	85040	144798
185	85214	143857
186	85410	142960
187	85634	142116
188	85836	141244
189	86043	140386
190	86238	139516
191	86493	138749
192	86797	138066
193	87190	137527
194	87578	136982
195	87870	136289
196	88370	135920
197	88790	135427
198	89216	134945
199	89559	134338
200	89828	133625
201	90080	132891
202	90336	132166
203	90566	131409
204	90844	130727
205	91097	130012
206	91340	129288
207	91585	128572
208	91811	127832
209	92053	127121
210	92293	126411
211	92585	125776
212	92804	125046
213	93060	124370
214	93212	123560
215	93474	122901
216	93687	122182
217	93929	121504
218	94130	120779
219	94400	120146
220	94833	119721
221	95283	119318
222	95637	118796
223	95913	118178
224	96168	117539
225	96416	116894
226	96686	116279
227	96923	115628
228	97208	115037
229	97454	114403
230	97687	113757
231	97934	113131
232	98172	112497
233	98409	111867
234	98671	111267
235	98980	110724
236	99268	110158
237	99535	109572
238	99802	108989
239	100096	108437
240	100351	107846
241	100683	107340
242	100912	106726
243	101143	106117
244	101310	105446
245	101601	104905
246	102026	104504
247	102401	104053
248	102869	103695
249	103262	103262
250	103636	102811
251	103878	102229
252	104110	101641
253	104379	101091
254	104651	100547
255	104904	99986
256	105123	99396
257	105379	98843
258	105574	98237
259	105802	97663
260	106017	97080
261	106336	96595
262	106583	96046
263	106868	95533
264	107093	94969
265	107378	94461
266	107577	93878
267	107816	93333
268	108073	92806
269	108260	92222
270	108512	91694
271	108757	91164
272	108998	90632
273	109311	90162
274	109567	89646
275	109899	89193
276	110249	88756
277	110758	88447
278	111017	87938
279	111232	87396
280	111483	86885
281	111747	86386
282	111986	85869
283	112206	85340
284	112458	84836
285	112701	84329
286	112972	83843
287	113224	83345
288	113493	82862
289	113748	82369
290	114033	81900
291	114307	81424
292	114537	80919
293	114794	80434
294	115069	79963
295	115322	79478
296	115578	78998
297	115803	78497
298	116051	78014
299	116294	77529
300	116516	77032
301	116858	76615
302	117234	76221
303	117682	75874
304	118148	75537
305	118521	75141
306	118932	74768
307	119195	74303
308	119415	73813
309	119684	73355
310	119942	72891
311	120163	72406
312	120438	71955
313	120667	71477
314	120919	71016
315	121213	70579
316	121489	70134
317	121759	69686
318	122004	69225
319	122314	68801
320	122625	68380
321	122857	67914
322	123160	67490
323	123389	67026
324	123601	66554
325	123832	66094
326	124041	65624
327	124278	65170
328	124512	64715
329	124782	64281
330	125034	63839
331	125315	63412
332	125575	62976
333	125788	62517
334	126040	62079
335	126321	61656
336	126550	61210
337	126766	60758
338	127064	60346
339	127282	59897
340	127532	59465
341	127711	59001
342	127967	58573
343	128187	58131
344	128453	57711
345	128656	57263
346	128919	56843
347	129202	56433
348	129385	55980
349	129624	55553
350	129855	55123
351	130065	54686
352	130307	54264
353	130543	53840
354	130764	53410
355	131003	52990
356	131233	52566
357	131409	52123
358	131676	51717
359	131870	51283
360	132054	50846
361	132296	50433
362	132561	50030
363	132876	49646
364	133079	49221
365	133280	48796
366	133499	48379
367	133736	47970
368	133983	47566
369	134182	47145
370	134417	46738
371	134667	46337
372	134900	45931
373	135097	45514
374	135262	45087
375	135491	44683
376	135727	44282
377	135945	43876
378	136263	43503
379	136503	43106
380	136789	42724
381	137006	42321
382	137207	41914
383	137472	41528
384	137714	41135
385	137985	40752
386	138215	40357
387	138482	39974
388	138651	39563
389	138890	39174
390	139120	38782
391	139335	38388
392	139519	37986
393	139794	37609
394	139954	37202
395	140181	36815
396	140440	36436
397	140736	36068
398	140999	35691
399	141184	35296
400	141409	34911
401	141641	34529
402	141847	34142
403	142078	33761
404	142268	33371
405	142448	32980
406	142685	32603
407	142981	32240
408	143229	31867
409	143483	31496
410	143735	31125
411	143877	30731
412	144056	30345
413	144315	29978
414	144645	29626
415	144905	29259
416	145111	28883
417	145354	28514
418	145565	28140
419	145784	27768
420	146019	27400
421	146290	27039
422	146530	26673
423	146780	26309
424	147000	25941
425	147190	25568
426	147454	25208
427	147691	24845
428	147942	24484
429	148119	24112
430	148376	23754
431	148577	23387
432	148868	23035
433	149078	22670
434	149273	22305
435	149519	21947
436	149724	21584
437	149927	21222
438	150187	20868
439	150409	20510
440	150624	20151
441	150885	19799
442	151126	19445
443	151359	19090
444	151565	18732
445	151822	18382
446	151976	18019
447	152157	17661
448	152374	17307
449	152736	16970
450	152910	16613
451	153168	16265
452	153628	15939
453	153872	15590
454	154033	15234
455	154246	14883
456	154612	14547
457	154891	14204
458	155071	13851
459	155241	13499
460	155624	13165
461	155950	12827
462	156151	12478
463	156346	12130
464	156540	11782
465	156792	11439
466	157327	11117
467	157721	10784
468	158374	10468
469	159034	10151
470	159652	9829
471	160161	9501
472	160743	9175
473	161259	8845
474	161909	8521
475	162624	8199
476	163077	7863
477	163500	7525
478	164197	7198
479	164524	6855
480	164762	6508
481	165153	6167
482	165439	5822
483	165817	5481
484	166226	5141
485	166754	4803
486	167429	4469
487	169425	4166
488	173130	3894
489	173791	3546
490	174198	3193
491	174634	2839
492	175004	2484
493	175366	2129
494	175847	1776
495	176400	1422
496	176916	1067
497	177465	712
498	177903	356
499	178403	0
